,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
26575,1,0.687,0.204,0.0105,0.0,0.0957,0.77,87.911,198000,-2.4035
11234,81,0.88,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,-3.9259999999999997
31642,42,0.73,0.0457,0.19,0.864,0.0527,0.097,121.003,499282,-4.314500000000001
4531,60,0.602,0.0545,0.0186,0.0,0.148,0.424,96.044,189347,-1.885
17484,42,0.69,0.0512,0.115,0.0,0.0893,0.808,95.939,164094,-2.048
15078,37,0.596,0.0515,0.115,5.42e-06,0.106,0.548,106.501,223380,-1.04
6520,41,0.683,0.0728,0.502,0.898,0.169,0.229,85.014,145412,-5.786
30961,50,0.708,0.0432,0.01,0.951,0.194,0.73,141.989,182535,-0.5815000000000001
954,32,0.568,0.0925,0.205,1.01e-06,0.0444,0.175,82.318,200727,-2.802
5742,47,0.497,0.181,0.962,0.944,0.108,0.669,77.695,108000,-3.6605000000000003
30758,17,0.623,0.0268,0.139,0.0,0.0946,0.453,121.98,215336,-1.4045
32615,18,0.654,0.0663,0.0322,0.892,0.0618,0.0596,134.973,510320,-2.9885
27800,56,0.345,0.088,0.0594,0.642,0.132,0.115,139.927,159429,-0.651
18340,91,0.843,0.0845,0.181,0.0,0.137,0.496,129.972,160627,-3.754
19684,47,0.727,0.0452,0.0689,6.02e-06,0.153,0.896,92.016,184960,-2.0925
30102,31,0.734,0.0437,0.00535,0.00265,0.0426,0.513,121.994,381802,-3.5655
31252,50,0.549,0.0362,0.102,0.122,0.157,0.14,120.994,229152,-4.596500000000001
28839,66,0.648,0.313,0.00351,0.0,0.0932,0.238,106.001,246322,-2.9570000000000003
16163,50,0.445,0.316,0.000866,0.0,0.108,0.51,113.945,271093,-1.9035
30068,35,0.776,0.0765,0.191,0.464,0.138,0.43,123.017,171707,-3.4575
12762,66,0.472,0.0262,0.872,0.206,0.147,0.459,135.193,288267,-6.3035000000000005
14166,64,0.532,0.0304,0.000261,0.0,0.205,0.215,135.306,298267,-1.882
28800,34,0.776,0.0719,0.000656,0.0955,0.0573,0.273,127.997,144027,-1.6464999999999999
20536,74,0.653,0.042,0.649,0.0,0.18,0.733,95.223,259853,-1.1895
32778,2,0.654,0.0392,0.000626,0.0,0.234,0.562,124.993,263890,-1.9780000000000002
16460,37,0.802,0.0467,0.358,1.36e-06,0.0983,0.845,114.991,185378,-3.8059999999999996
13399,25,0.586,0.0496,0.035,0.00178,0.103,0.834,106.536,381760,-3.9465
31238,45,0.724,0.0662,0.027,0.808,0.403,0.23,124.013,199427,-2.797
32741,45,0.618,0.0729,0.0524,0.0161,0.254,0.563,123.502,160857,-1.1005
24961,54,0.701,0.0988,0.00843,0.025,0.0772,0.549,197.768,302760,-3.0180000000000002
30698,66,0.573,0.0276,0.148,0.0,0.128,0.188,103.82,221293,-1.372
6539,3,0.516,0.204,0.477,0.31,0.108,0.955,70.995,89250,-6.982
22641,27,0.586,0.114,0.415,0.0,0.207,0.774,119.924,205400,-2.055
6099,72,0.835,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093,-2.1835
3675,35,0.644,0.0458,0.000259,0.0708,0.0726,0.758,108.99,237120,-3.5505
20806,71,0.752,0.0461,0.0134,0.000804,0.0692,0.822,95.987,211520,-1.078
23132,94,0.88,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,-1.7535
19777,81,0.588,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,-2.8845
318,58,0.691,0.0401,0.136,0.000115,0.092,0.759,104.961,222000,-1.8530000000000002
23310,84,0.765,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,-1.905
27943,41,0.829,0.0414,0.00906,0.866,0.107,0.412,123.017,359298,-3.3295000000000003
15433,10,0.722,0.118,0.101,1.27e-06,0.0695,0.963,143.383,188667,-1.3945
25958,48,0.706,0.0343,0.26,0.0,0.174,0.558,104.0,196037,-3.713
4298,48,0.693,0.0746,0.127,0.953,0.102,0.732,130.048,160659,-4.159000000000001
25872,39,0.637,0.0895,0.184,1.15e-05,0.0918,0.44,83.109,322347,-5.1855
5939,67,0.733,0.0842,0.0359,6.34e-06,0.111,0.29,135.97,222027,-2.1740000000000004
20720,78,0.726,0.0431,0.049,0.0,0.309,0.867,143.994,233478,-1.7335
21845,61,0.504,0.0234,0.36,0.0,0.159,0.683,89.255,266201,-2.4855
12472,71,0.544,0.0471,0.241,0.0,0.13,0.647,157.17,215133,-2.5795
30224,23,0.522,0.0965,0.507,5.17e-06,0.179,0.469,160.034,163516,-3.9204999999999997
21402,88,0.882,0.245,0.0177,0.0,0.178,0.43,142.959,183011,-2.476
6370,61,0.556,0.581,0.136,0.0,0.135,0.476,199.689,212700,-3.2824999999999998
30785,36,0.64,0.0982,0.206,4.21e-05,0.141,0.363,123.018,224878,-2.1115
19252,67,0.728,0.0871,0.0253,0.0,0.171,0.565,176.148,174545,-1.5195
32715,39,0.517,0.0369,0.0212,0.0,0.127,0.354,128.064,205884,-1.6479999999999997
12127,35,0.619,0.027,0.466,0.000279,0.387,0.644,129.947,186080,-3.522
18784,76,0.741,0.283,0.295,9.62e-05,0.152,0.734,186.096,272800,-1.9309999999999998
25511,35,0.843,0.0904,0.493,0.275,0.111,0.321,101.995,388947,-5.9479999999999995
26212,3,0.763,0.0586,0.00667,1.2e-05,0.129,0.427,108.963,369320,-1.9935000000000003
9799,29,0.822,0.0686,0.0371,0.00401,0.0859,0.104,133.033,265277,-4.2165
7354,46,0.853,0.217,0.0502,0.0,0.304,0.694,136.045,211787,-2.5905
21996,34,0.502,0.0346,0.108,0.0792,0.12,0.0441,84.161,381707,-6.3725000000000005
27249,23,0.67,0.0346,0.00125,0.27,0.238,0.202,123.007,224340,-1.9344999999999999
471,1,0.7,0.0869,0.0148,0.0,0.343,0.612,99.972,193579,-1.0139999999999998
21794,68,0.688,0.0283,0.064,0.0,0.1,0.318,116.714,255333,-1.883
23443,36,0.797,0.0439,0.0202,0.0,0.0726,0.164,115.036,222621,-2.6005
27168,29,0.628,0.0403,0.0651,0.581,0.0858,0.78,128.011,196313,-2.951
27159,44,0.649,0.0581,0.00938,0.000111,0.0723,0.598,123.991,172258,-3.1035000000000004
6642,67,0.882,0.0539,0.0437,0.0,0.0789,0.845,149.013,131698,-3.2439999999999998
3307,57,0.661,0.0284,0.00166,0.00933,0.115,0.454,137.971,216333,-3.277
22209,2,0.52,0.462,0.44,0.0,0.185,0.393,129.216,230240,-4.1080000000000005
11957,54,0.509,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,-1.6400000000000001
24191,2,0.556,0.0316,0.676,0.00827,0.1,0.716,143.274,286533,-4.2235
14705,9,0.402,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,253667,-1.1680000000000001
16289,48,0.603,0.0369,0.401,8.15e-06,0.0822,0.385,95.019,220500,-3.587
5192,40,0.684,0.0378,0.306,4.97e-05,0.103,0.528,91.958,172174,-3.0575
24776,30,0.808,0.0391,0.0363,0.000117,0.0171,0.94,106.957,234307,-2.6795
18391,36,0.755,0.163,0.0916,0.698,0.441,0.288,126.065,173351,-0.9044999999999999
27196,35,0.826,0.0994,0.00327,0.523,0.0722,0.478,123.987,280271,-3.2185
11482,56,0.501,0.0502,0.0628,0.0,0.169,0.247,130.063,327573,-1.1835
25925,5,0.732,0.0308,0.86,3.1e-05,0.0737,0.339,93.843,391373,-4.16
32495,43,0.377,0.0476,0.0229,0.0301,0.0948,0.0645,127.904,262507,-3.5995
11918,1,0.518,0.0369,0.117,0.0,0.0954,0.736,135.25,277200,-4.069999999999999
23890,4,0.66,0.0367,0.115,1.59e-06,0.131,0.477,110.091,214802,-2.1795
