,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
19380,53,0.585,0.309,0.089,0.0,0.0697,0.459,177.738,185002,-2.181
32060,27,0.738,0.0458,0.0325,0.807,0.149,0.408,128.005,165015,-3.8939999999999997
26979,9,0.807,0.0617,0.00226,0.867,0.0486,0.423,128.016,236367,-1.6415000000000002
12470,69,0.549,0.0323,0.583,0.0,0.121,0.368,122.818,212307,-3.2230000000000003
8623,1,0.525,0.356,0.159,0.000241,0.311,0.457,122.631,223720,-1.87
20090,19,0.591,0.331,0.0347,0.00498,0.0732,0.467,169.894,219067,-1.3885
28780,5,0.535,0.0458,0.00273,0.598,0.0944,0.195,130.007,181081,-0.8600000000000001
14483,75,0.575,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,-4.86
24623,1,0.818,0.0695,0.0202,0.000767,0.243,0.405,93.67,250173,-1.8319999999999999
9452,29,0.773,0.0558,0.746,0.0,0.0606,0.301,79.953,225789,-2.3635
10184,62,0.957,0.283,0.295,2.41e-06,0.217,0.805,126.986,160630,-4.897
14355,53,0.488,0.0326,0.00583,0.809,0.101,0.38,144.035,298613,-4.1935
17794,85,0.695,0.0903,0.227,0.000171,0.0884,0.781,180.074,175187,-2.6094999999999997
14838,41,0.446,0.0336,0.000315,0.000449,0.125,0.404,152.558,235907,-3.359
11490,38,0.568,0.0339,0.00299,0.000337,0.127,0.344,120.095,250040,-2.002
24158,60,0.703,0.0415,0.177,0.0,0.726,0.661,86.038,291667,-3.0229999999999997
23067,70,0.771,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,-1.977
15203,32,0.559,0.032,0.00664,0.0,0.113,0.236,119.932,245373,-2.5065
17569,54,0.565,0.0291,0.425,0.0,0.0772,0.4,137.112,258627,-6.4155
9639,1,0.789,0.238,0.194,7.27e-06,0.37,0.377,82.089,312373,-2.9295
23594,6,0.733,0.0664,0.736,9e-06,0.125,0.225,129.987,221568,-3.8785000000000003
13660,65,0.82,0.0321,0.111,0.0186,0.257,0.931,120.091,272107,-5.3255
19528,33,0.782,0.0534,0.126,0.000781,0.217,0.699,81.963,187124,-3.178
24861,49,0.537,0.0366,0.604,0.0,0.16,0.22,127.77,195693,-4.768
23582,73,0.857,0.0608,0.0101,1.95e-06,0.0908,0.333,113.015,180645,-3.225
23135,27,0.458,0.0565,0.0258,1.79e-05,0.102,0.112,103.042,170286,-3.14
22060,39,0.43,0.034,0.915,0.851,0.0765,0.919,102.644,360547,-1.4420000000000002
9860,64,0.506,0.444,0.44,2.3e-05,0.0938,0.0788,76.016,170227,-4.8465
13330,46,0.583,0.0404,0.00417,0.144,0.237,0.664,122.425,254707,-3.5585000000000004
15471,69,0.563,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,-3.3365
10731,2,0.613,0.136,0.211,0.000475,0.331,0.503,149.94,198408,-3.651
9530,66,0.777,0.318,0.18,0.0,0.296,0.543,105.755,313053,-1.122
18703,36,0.594,0.0345,0.018,0.000838,0.109,0.068,112.002,373696,-3.2344999999999997
6326,69,0.888,0.238,0.00586,0.0,0.218,0.664,100.003,175711,-2.3115
22430,37,0.345,0.0422,0.77,0.045,0.155,0.189,88.336,248455,-5.9945
20742,64,0.446,0.0295,0.0298,8.89e-06,0.0931,0.394,159.958,237000,-1.739
7608,35,0.682,0.0778,0.492,1.33e-06,0.325,0.963,200.301,355600,-0.8294999999999999
28586,39,0.678,0.0309,0.0012,0.292,0.0823,0.119,124.962,184368,-1.7125
30169,49,0.672,0.0565,0.0728,0.0,0.135,0.318,139.94,147000,-1.5505
2424,71,0.793,0.0406,0.236,1.12e-05,0.202,0.872,107.661,196160,-2.015
7592,48,0.662,0.083,0.151,0.0,0.0908,0.58,77.511,252093,-1.1340000000000001
23153,90,0.809,0.0735,0.392,0.0,0.151,0.244,97.008,180435,-3.0665
27286,28,0.74,0.0473,0.00726,0.851,0.0931,0.686,125.006,213130,-2.597
22186,70,0.76,0.0569,0.0129,0.00351,0.106,0.125,100.01,213600,-3.3975
10521,62,0.532,0.591,0.0117,0.0,0.0528,0.613,150.016,185600,0.02699999999999997
6680,72,0.844,0.0346,0.47,0.0,0.245,0.95,125.974,209032,-2.717
16979,40,0.768,0.0455,0.68,0.553,0.113,0.104,100.0,79736,-8.144
10847,68,0.646,0.0381,0.00925,0.000308,0.115,0.281,80.504,159150,-2.648
15012,37,0.281,0.0632,4.08e-05,0.00309,0.205,0.416,83.645,222840,-1.3765
6781,49,0.842,0.213,0.229,2.33e-05,0.109,0.366,125.188,191067,-5.130000000000001
18921,71,0.815,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,-1.4845000000000002
18839,39,0.713,0.0624,0.251,6.56e-05,0.307,0.948,176.079,267773,-2.3145
30588,50,0.619,0.088,0.00465,0.000327,0.0823,0.499,154.853,204387,-1.6509999999999998
2813,76,0.583,0.0423,0.0141,0.0,0.0527,0.224,104.879,220573,-2.3205
27315,17,0.739,0.194,0.013,0.188,0.599,0.636,124.119,233879,-3.2830000000000004
7099,35,0.837,0.174,0.112,0.0039,0.0913,0.632,88.012,277867,-3.7580000000000005
11422,18,0.46,0.036,0.373,1.9e-05,0.697,0.249,146.857,308373,-3.777
152,19,0.503,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632,-2.3645
20330,84,0.747,0.341,0.136,0.000167,0.11,0.62,176.036,225933,-1.9844999999999997
19231,74,0.722,0.247,0.328,1.47e-05,0.198,0.748,198.075,184720,-2.6675000000000004
6600,57,0.503,0.332,0.102,0.0,0.0863,0.423,93.27,287927,-2.6504999999999996
14876,40,0.34,0.11,8.02e-05,0.143,0.152,0.373,157.009,217333,-0.9095
1685,51,0.423,0.0635,0.00166,0.0,0.178,0.505,149.934,206520,-1.5359999999999998
21152,44,0.871,0.188,0.0346,0.0292,0.081,0.862,102.147,203773,-4.3905
5049,61,0.452,0.0379,0.312,0.8,0.558,0.591,145.056,153133,-1.4745
28150,14,0.839,0.168,0.0058,0.918,0.254,0.0757,128.012,190100,-2.852
4317,39,0.776,0.115,0.01,5.28e-05,0.408,0.717,109.977,137555,-4.656499999999999
6652,43,0.643,0.287,0.465,7.87e-05,0.138,0.26,91.727,176573,-3.0275000000000003
30640,76,0.489,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617,269600,-2.7944999999999998
25520,16,0.638,0.0976,0.706,0.000892,0.111,0.757,95.951,183125,-3.595
16901,19,0.822,0.0381,0.425,0.0,0.165,0.822,100.04,263036,-2.274
18723,30,0.881,0.115,0.125,0.0,0.0781,0.696,128.101,187849,-3.1845
22904,45,0.701,0.147,0.82,0.00113,0.249,0.577,138.216,146390,-5.8565000000000005
12921,75,0.536,0.058,0.0628,0.00084,0.0608,0.185,117.652,310333,-3.037
21760,59,0.612,0.333,0.107,4.17e-05,0.0413,0.867,129.873,238760,-1.0585
12246,65,0.717,0.0292,0.567,0.00668,0.0785,0.731,116.288,246667,-5.126
14570,68,0.482,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,-2.389
12244,57,0.556,0.0287,0.315,0.00334,0.196,0.675,180.645,306453,-3.9635000000000002
23332,36,0.766,0.067,0.358,0.0,0.219,0.795,110.015,117864,-1.6395
14186,7,0.518,0.0367,0.0372,0.0,0.337,0.393,136.023,249754,-2.5085
20945,51,0.751,0.108,0.0953,0.0,0.653,0.509,88.039,256465,-1.9170000000000003
11474,48,0.429,0.0357,0.00389,9.59e-06,0.095,0.21,101.875,271867,-4.3755
19744,94,0.501,0.0319,0.751,0.0,0.105,0.446,109.891,182161,-2.637
5542,83,0.741,0.503,0.00813,0.0,0.114,0.663,184.194,254723,-1.312
9071,32,0.903,0.28,0.0371,0.0,0.335,0.741,98.104,326773,-2.42
17586,57,0.818,0.0833,0.272,0.0,0.155,0.858,135.726,234747,-2.4485
11921,63,0.508,0.0327,0.453,0.0,0.241,0.467,127.671,213267,-4.1465
10808,57,0.971,0.0965,0.485,0.0,0.0534,0.865,118.981,161345,-2.8569999999999998
9399,74,0.936,0.0597,0.239,0.0,0.117,0.699,119.889,124056,-3.0935
1545,54,0.653,0.0556,0.00514,3.79e-05,0.0658,0.133,119.905,203680,-2.0660000000000003
23879,61,0.565,0.213,0.00464,0.0,0.0568,0.573,168.385,225526,-2.2245
29693,69,0.746,0.0542,0.103,0.0036,0.138,0.324,111.961,159404,-3.0825
15520,30,0.394,0.134,0.000771,0.00746,0.772,0.488,182.095,260867,-1.625
32609,52,0.725,0.0345,0.0375,0.822,0.108,0.134,128.006,337500,-3.945
20799,88,0.738,0.0453,0.182,0.0,0.11,0.896,94.949,217253,-2.077
595,64,0.688,0.0357,0.3,0.0,0.0982,0.451,114.011,193321,-2.576
30309,69,0.777,0.0598,0.0125,0.00233,0.0264,0.283,103.023,185105,-1.197
5741,47,0.816,0.652,0.456,0.0901,0.151,0.972,75.972,75789,-6.6675
25160,41,0.662,0.322,0.367,0.0,0.339,0.775,99.962,192351,-1.9874999999999998
7311,36,0.694,0.175,0.111,0.0,0.113,0.205,139.986,164587,-2.1755
1403,68,0.793,0.0462,0.428,0.0,0.0823,0.5,133.957,184005,-2.6595000000000004
18539,55,0.795,0.0461,0.565,1.09e-05,0.062,0.96,93.03,205813,-2.376
3680,44,0.451,0.065,0.056,0.0785,0.0904,0.348,180.06,294740,-2.2155
17242,47,0.578,0.28,0.0898,0.000222,0.155,0.575,116.951,190280,-4.304
24565,22,0.751,0.044,0.00823,0.00329,0.0651,0.772,104.414,316467,-3.8024999999999998
14818,51,0.468,0.0459,1.65e-05,4.51e-06,0.0715,0.465,92.009,222733,-1.518
28865,36,0.751,0.0787,0.0695,7.89e-06,0.298,0.371,124.969,128784,-4.069
4482,19,0.671,0.0568,0.101,0.0,0.29,0.533,144.981,191922,-2.7670000000000003
8393,70,0.772,0.224,0.277,1.17e-05,0.682,0.807,119.953,276160,-2.6005000000000003
9647,56,0.904,0.272,0.0531,0.0,0.214,0.824,101.35,191600,-0.7729999999999999
21714,54,0.494,0.309,0.708,0.000405,0.0602,0.344,107.669,486773,-3.2675
31877,4,0.611,0.0408,0.00203,0.00517,0.0754,0.425,129.347,240640,-3.617
5981,60,0.55,0.0577,0.602,0.0,0.112,0.177,78.071,166154,-1.999
1315,74,0.585,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,-3.735
22468,39,0.208,0.0386,0.251,1.1e-06,0.0935,0.144,171.135,394840,-1.8984999999999999
32379,16,0.868,0.0545,0.00676,0.00541,0.0354,0.814,127.976,271999,-1.2455
26844,25,0.738,0.0906,0.000238,0.667,0.0826,0.265,128.044,225000,-1.1364999999999998
4416,69,0.936,0.0458,0.691,2.73e-05,0.133,0.863,124.964,181000,-5.9085
21612,41,0.54,0.0741,0.787,1.46e-05,0.121,0.25,79.835,168500,-5.6455
10381,42,0.601,0.0772,0.315,2.33e-06,0.162,0.235,74.986,210000,-2.9259999999999997
24873,61,0.744,0.0651,0.165,1.27e-05,0.295,0.805,86.278,281880,-4.4355
29812,46,0.618,0.307,0.0589,0.000133,0.114,0.108,130.048,154154,-1.735
16347,62,0.918,0.0502,0.0878,0.00026,0.0729,0.827,129.998,246747,-2.0515000000000003
3144,60,0.752,0.0426,0.00616,0.0998,0.167,0.509,122.026,176414,-1.7835
21432,41,0.812,0.413,0.189,0.0,0.118,0.881,99.891,137935,-2.564
29163,38,0.702,0.0458,0.0545,0.697,0.0785,0.546,125.979,180956,-0.6415
8848,28,0.756,0.16,0.0739,0.0,0.0589,0.832,175.93,246227,-3.2965
9222,50,0.484,0.321,0.00269,0.000157,0.276,0.619,130.554,204133,-1.9985000000000002
10651,58,0.8,0.205,0.25,0.0,0.211,0.736,97.081,191829,-2.8505000000000003
18680,29,0.862,0.0654,0.371,0.00323,0.0934,0.633,95.029,174384,-3.8230000000000004
13212,52,0.468,0.0407,0.314,0.0,0.234,0.749,94.852,257600,-5.127000000000001
